profile,origin,days,seed,completed_days,skipped_days,return_count,recovery_days,burnout,action_concentration,ending_band,xp,material
adversarial,return,180,5,129,51,39,47,77.85,0.188,returning,6493.5,585.0
perfect,lost,30,6,30,0,0,4,1.62,0.233,open,600.0,60.0
cautious,lost,30,6,14,16,7,3,0,0.286,returning,131.04,14.0
balanced,lost,30,6,22,8,5,3,1.04,0.205,returning,431.2,44.0
chaotic,lost,30,6,11,19,5,1,1.2,0.273,returning,341.88,33.0
high_skip,lost,30,6,4,26,4,0,0,0.5,returning,37.76,4.0
returning,lost,30,6,14,16,6,2,0,0.286,returning,269.92,28.0
overload,lost,30,6,27,3,3,4,66.72,0.222,open,1177.2,108.0
optimizer,lost,30,6,28,2,2,4,3.13,0.19,open,853.44,84.0
low_energy,lost,30,6,16,14,8,5,0,0.312,returning,146.56,16.0
adversarial,lost,30,6,22,8,7,4,68.97,0.217,returning,1176.6,106.0
perfect,burnout,30,6,30,0,0,4,1.62,0.25,open,600.0,60.0
cautious,burnout,30,6,25,5,3,3,0,0.24,open,234.0,25.0
balanced,burnout,30,6,22,8,5,4,0,0.205,returning,431.2,44.0
chaotic,burnout,30,6,14,16,7,1,1.6,0.262,returning,435.12,42.0
high_skip,burnout,30,6,8,22,5,0,0,0.375,returning,75.52,8.0
returning,burnout,30,6,18,12,7,3,0.29,0.222,returning,347.04,36.0
overload,burnout,30,6,27,3,2,4,70.54,0.21,open,1144.5,105.0
optimizer,burnout,30,6,27,3,2,4,3.13,0.185,open,822.96,81.0
low_energy,burnout,30,6,14,16,10,5,0,0.429,returning,128.24,14.0
adversarial,burnout,30,6,24,6,4,6,68.0,0.193,returning,1265.4,114.0
perfect,potential,30,6,29,1,1,4,1.62,0.207,open,580.0,58.0
cautious,potential,30,6,18,12,8,2,0,0.333,returning,168.48,18.0
balanced,potential,30,6,21,9,8,2,0,0.214,returning,411.6,42.0
chaotic,potential,30,6,18,12,7,3,5.41,0.259,returning,559.44,54.0
high_skip,potential,30,6,9,21,7,1,0,0.333,returning,84.96,9.0
returning,potential,30,6,19,11,8,3,0.58,0.263,returning,366.32,38.0
overload,potential,30,6,27,3,3,4,65.66,0.234,open,1166.3,107.0
optimizer,potential,30,6,29,1,1,4,3.13,0.195,open,883.92,87.0
low_energy,potential,30,6,17,13,5,5,0,0.353,returning,155.72,17.0
adversarial,potential,30,6,20,10,6,3,67.15,0.283,returning,1098.9,99.0
perfect,return,30,6,30,0,0,4,1.62,0.217,open,600.0,60.0
cautious,return,30,6,16,14,6,2,0,0.312,returning,149.76,16.0
balanced,return,30,6,25,5,5,3,1.04,0.24,returning,490.0,50.0
chaotic,return,30,6,19,11,9,2,7.8,0.211,returning,590.52,57.0
high_skip,return,30,6,10,20,7,1,0,0.3,returning,94.4,10.0
returning,return,30,6,18,12,8,3,0.58,0.222,returning,347.04,36.0
overload,return,30,6,25,5,5,2,74.79,0.192,returning,1079.1,99.0
optimizer,return,30,6,27,3,3,4,3.13,0.198,open,822.96,81.0
low_energy,return,30,6,13,17,8,5,0,0.231,returning,119.08,13.0
adversarial,return,30,6,20,10,8,3,68.35,0.23,returning,1110.0,100.0
perfect,lost,90,6,90,0,0,12,4.87,0.206,open,1800.0,180.0
cautious,lost,90,6,58,32,20,9,0,0.224,returning,542.88,58.0
balanced,lost,90,6,72,18,16,10,2.61,0.188,returning,1411.2,144.0
chaotic,lost,90,6,42,48,19,5,1.6,0.206,returning,1305.36,126.0
high_skip,lost,90,6,28,62,18,3,0,0.286,returning,264.32,28.0
returning,lost,90,6,53,37,24,6,0,0.198,returning,1021.84,106.0
overload,lost,90,6,82,8,7,20,76.6,0.201,returning,3204.6,294.0
optimizer,lost,90,6,80,10,7,10,8.65,0.192,sustainable,2438.4,240.0
low_energy,lost,90,6,48,42,24,15,0,0.229,returning,439.68,48.0
adversarial,lost,90,6,59,31,20,17,75.15,0.206,returning,3019.2,272.0
perfect,burnout,90,6,89,1,1,12,4.87,0.18,open,1780.0,178.0
cautious,burnout,90,6,64,26,16,8,0,0.203,returning,599.04,64.0
balanced,burnout,90,6,70,20,16,8,3.13,0.214,returning,1372.0,140.0
chaotic,burnout,90,6,35,55,21,2,1.01,0.19,returning,1087.8,105.0
high_skip,burnout,90,6,18,72,14,2,0,0.278,returning,169.92,18.0
returning,burnout,90,6,48,42,23,7,0.29,0.188,returning,925.44,96.0
overload,burnout,90,6,78,12,11,19,68.86,0.176,sustainable,3030.2,278.0
optimizer,burnout,90,6,84,6,6,12,9.4,0.194,sustainable,2560.32,252.0
low_energy,burnout,90,6,45,45,22,17,0,0.222,returning,412.2,45.0
adversarial,burnout,90,6,60,30,23,19,67.17,0.199,sustainable,3063.6,276.0
perfect,potential,90,6,89,1,1,11,4.87,0.202,sustainable,1780.0,178.0
cautious,potential,90,6,53,37,21,9,0,0.264,returning,496.08,53.0
balanced,potential,90,6,73,17,14,10,0,0.24,returning,1430.8,146.0
chaotic,potential,90,6,50,40,19,10,2.0,0.22,sustainable,1554.0,150.0
high_skip,potential,90,6,31,59,17,4,0,0.29,returning,292.64,31.0
returning,potential,90,6,56,34,20,9,0,0.205,returning,1079.68,112.0
overload,potential,90,6,79,11,8,19,74.65,0.201,returning,3139.2,288.0
optimizer,potential,90,6,81,9,8,12,9.4,0.198,sustainable,2468.88,243.0
low_energy,potential,90,6,45,45,19,13,0,0.222,returning,412.2,45.0
adversarial,potential,90,6,70,20,17,25,73.93,0.191,returning,3596.4,324.0
perfect,return,90,6,89,1,1,12,4.87,0.197,sustainable,1780.0,178.0
cautious,return,90,6,53,37,21,8,0,0.208,returning,496.08,53.0
balanced,return,90,6,68,22,19,10,1.04,0.221,returning,1332.8,136.0
chaotic,return,90,6,47,43,22,5,3.6,0.22,sustainable,1460.76,141.0
high_skip,return,90,6,14,76,11,5,0,0.286,returning,132.16,14.0
returning,return,90,6,51,39,21,6,0,0.206,returning,983.28,102.0
overload,return,90,6,82,8,8,20,77.66,0.176,returning,3215.5,295.0
optimizer,return,90,6,83,7,7,11,9.4,0.193,sustainable,2529.84,249.0
low_energy,return,90,6,38,52,31,16,0,0.289,returning,348.08,38.0
adversarial,return,90,6,62,28,18,20,76.18,0.18,returning,3207.9,289.0
perfect,lost,180,6,179,1,1,25,4.06,0.19,integrated,3580.0,358.0
cautious,lost,180,6,120,60,45,17,0,0.225,returning,1123.2,120.0
balanced,lost,180,6,145,35,28,20,0,0.197,sustainable,2842.0,290.0
chaotic,lost,180,6,92,88,44,11,10.0,0.185,sustainable,2859.36,276.0
high_skip,lost,180,6,48,132,34,9,0,0.292,returning,453.12,48.0
returning,lost,180,6,107,73,42,11,0.29,0.182,sustainable,2062.96,214.0
overload,lost,180,6,159,21,20,44,67.68,0.196,sustainable,6125.8,562.0
optimizer,lost,180,6,169,11,11,24,11.07,0.197,integrated,5151.12,507.0
low_energy,lost,180,6,76,104,46,21,0,0.224,returning,696.16,76.0
adversarial,lost,180,6,124,56,35,44,74.57,0.183,returning,6260.4,564.0
perfect,burnout,180,6,179,1,1,25,4.06,0.184,sustainable,3580.0,358.0
cautious,burnout,180,6,113,67,42,17,0,0.221,returning,1057.68,113.0
balanced,burnout,180,6,136,44,37,17,1.04,0.188,sustainable,2665.6,272.0
chaotic,burnout,180,6,86,94,44,15,0,0.19,sustainable,2672.88,258.0
high_skip,burnout,180,6,58,122,41,12,0,0.259,returning,547.52,58.0
returning,burnout,180,6,105,75,50,19,0.58,0.19,returning,2024.4,210.0
overload,burnout,180,6,161,19,18,45,76.54,0.188,returning,6213.0,570.0
optimizer,burnout,180,6,169,11,11,25,1.57,0.195,integrated,5151.12,507.0
low_energy,burnout,180,6,86,94,42,36,0,0.233,returning,787.76,86.0
adversarial,burnout,180,6,126,54,34,47,71.03,0.181,returning,6426.9,579.0
perfect,potential,180,6,180,0,0,25,4.06,0.189,integrated,3600.0,360.0
cautious,potential,180,6,109,71,45,16,0,0.229,returning,1020.24,109.0
balanced,potential,180,6,139,41,35,20,2.61,0.176,sustainable,2724.4,278.0
chaotic,potential,180,6,91,89,45,14,4.0,0.231,integrated,2828.28,273.0
high_skip,potential,180,6,36,144,30,6,0,0.333,returning,339.84,36.0
returning,potential,180,6,104,76,47,12,0.29,0.183,sustainable,2005.12,208.0
overload,potential,180,6,162,18,17,45,72.8,0.189,returning,6223.9,571.0
optimizer,potential,180,6,169,11,11,24,7.83,0.197,integrated,5151.12,507.0
low_energy,potential,180,6,84,96,49,29,0,0.25,returning,769.44,84.0
adversarial,potential,180,6,129,51,36,47,73.03,0.196,returning,6449.1,581.0
perfect,return,180,6,180,0,0,25,4.06,0.203,integrated,3600.0,360.0
cautious,return,180,6,110,70,42,14,0,0.209,returning,1029.6,110.0
balanced,return,180,6,152,28,21,20,1.57,0.227,sustainable,2979.2,304.0
chaotic,return,180,6,100,80,45,15,8.0,0.207,integrated,3108.0,300.0
high_skip,return,180,6,51,129,38,11,0,0.235,returning,481.44,51.0
returning,return,180,6,100,80,49,11,0.29,0.22,sustainable,1928.0,200.0
overload,return,180,6,158,22,19,43,74.36,0.184,returning,6104.0,560.0
optimizer,return,180,6,168,12,12,24,7.83,0.196,integrated,5120.64,504.0
low_energy,return,180,6,95,85,41,33,0,0.221,returning,870.2,95.0
adversarial,return,180,6,122,58,44,42,68.1,0.188,sustainable,6038.4,544.0
perfect,lost,30,7,30,0,0,4,1.62,0.25,open,600.0,60.0
cautious,lost,30,7,17,13,7,2,0,0.353,returning,159.12,17.0
balanced,lost,30,7,21,9,6,2,0,0.286,returning,411.6,42.0
chaotic,lost,30,7,18,12,5,2,9.61,0.296,returning,559.44,54.0
high_skip,lost,30,7,7,23,6,0,0,0.429,returning,66.08,7.0
returning,lost,30,7,19,11,8,3,0.29,0.237,returning,366.32,38.0
overload,lost,30,7,22,8,6,2,56.55,0.227,returning,959.2,88.0
optimizer,lost,30,7,30,0,0,4,5.98,0.189,open,914.4,90.0
low_energy,lost,30,7,13,17,7,5,0,0.308,returning,119.08,13.0
adversarial,lost,30,7,24,6,4,5,73.2,0.217,returning,1276.5,115.0
perfect,burnout,30,7,30,0,0,4,1.62,0.233,open,600.0,60.0
cautious,burnout,30,7,19,11,5,4,0,0.263,returning,177.84,19.0
balanced,burnout,30,7,24,6,4,3,0,0.229,returning,470.4,48.0
chaotic,burnout,30,7,16,14,8,3,0,0.208,returning,497.28,48.0
high_skip,burnout,30,7,11,19,7,2,0,0.364,returning,103.84,11.0
returning,burnout,30,7,16,14,9,1,0.58,0.281,returning,308.48,32.0
overload,burnout,30,7,28,2,2,4,76.98,0.211,overloaded,1188.1,109.0
optimizer,burnout,30,7,28,2,1,4,5.45,0.19,open,853.44,84.0
low_energy,burnout,30,7,10,20,7,2,0,0.3,returning,91.6,10.0
adversarial,burnout,30,7,24,6,5,6,68.0,0.237,returning,1265.4,114.0
perfect,potential,30,7,30,0,0,4,1.62,0.2,open,600.0,60.0
cautious,potential,30,7,21,9,6,2,0,0.286,returning,196.56,21.0
balanced,potential,30,7,25,5,3,4,1.04,0.22,open,490.0,50.0
chaotic,potential,30,7,16,14,9,2,2.0,0.229,returning,497.28,48.0
high_skip,potential,30,7,9,21,6,1,0,0.333,returning,84.96,9.0
returning,potential,30,7,16,14,6,3,0,0.219,returning,308.48,32.0
overload,potential,30,7,29,1,1,4,76.41,0.257,overloaded,1231.7,113.0
optimizer,potential,30,7,26,4,4,4,3.13,0.192,returning,792.48,78.0
low_energy,potential,30,7,13,17,9,6,0,0.385,returning,119.08,13.0
adversarial,potential,30,7,23,7,4,5,66.19,0.216,sustainable,1232.1,111.0
perfect,return,30,7,30,0,0,4,1.62,0.267,open,600.0,60.0
cautious,return,30,7,16,14,3,1,0,0.25,open,149.76,16.0
balanced,return,30,7,20,10,5,3,0.52,0.225,returning,392.0,40.0
chaotic,return,30,7,14,16,6,1,2.0,0.238,returning,435.12,42.0
high_skip,return,30,7,7,23,6,0,0,0.429,returning,66.08,7.0
returning,return,30,7,18,12,8,1,0.29,0.194,returning,347.04,36.0
overload,return,30,7,30,0,0,5,70.79,0.224,open,1264.4,116.0
optimizer,return,30,7,29,1,1,4,3.13,0.195,open,883.92,87.0
low_energy,return,30,7,12,18,9,6,0,0.333,returning,109.92,12.0
adversarial,return,30,7,25,5,4,6,69.22,0.202,returning,1320.9,119.0
perfect,lost,90,7,89,1,1,12,4.87,0.213,open,1780.0,178.0
cautious,lost,90,7,58,32,24,6,0,0.259,returning,542.88,58.0
balanced,lost,90,7,72,18,13,9,0,0.188,returning,1411.2,144.0
chaotic,lost,90,7,50,40,23,8,8.0,0.207,sustainable,1554.0,150.0
high_skip,lost,90,7,23,67,17,5,0,0.261,returning,217.12,23.0
returning,lost,90,7,58,32,22,9,0,0.198,returning,1118.24,116.0
overload,lost,90,7,82,8,8,21,67.72,0.213,sustainable,3226.4,296.0
optimizer,lost,90,7,86,4,4,10,18.88,0.19,sustainable,2621.28,258.0
low_energy,lost,90,7,32,58,19,6,0,0.219,returning,293.12,32.0
adversarial,lost,90,7,65,25,16,22,67.05,0.19,sustainable,3330.0,300.0
perfect,burnout,90,7,87,3,3,12,4.87,0.195,open,1740.0,174.0
cautious,burnout,90,7,58,32,22,7,0,0.276,returning,542.88,58.0
balanced,burnout,90,7,72,18,15,11,1.57,0.222,returning,1411.2,144.0
chaotic,burnout,90,7,48,42,26,5,5.21,0.208,returning,1491.84,144.0
high_skip,burnout,90,7,18,72,12,3,0,0.389,returning,169.92,18.0
returning,burnout,90,7,53,37,23,8,0.29,0.198,returning,1021.84,106.0
overload,burnout,90,7,77,13,10,19,69.84,0.203,sustainable,3062.9,281.0
optimizer,burnout,90,7,84,6,6,10,18.34,0.19,sustainable,2560.32,252.0
low_energy,burnout,90,7,37,53,24,13,0,0.351,returning,338.92,37.0
adversarial,burnout,90,7,64,26,16,21,68.41,0.205,sustainable,3196.8,288.0
perfect,potential,90,7,89,1,1,12,4.87,0.197,sustainable,1780.0,178.0
cautious,potential,90,7,54,36,22,6,0,0.241,returning,505.44,54.0
balanced,potential,90,7,73,17,14,11,1.57,0.192,returning,1430.8,146.0
chaotic,potential,90,7,43,47,26,5,2.0,0.209,sustainable,1336.44,129.0
high_skip,potential,90,7,18,72,15,0,0,0.278,returning,169.92,18.0
returning,potential,90,7,54,36,24,7,1.16,0.194,returning,1041.12,108.0
overload,potential,90,7,80,10,9,19,77.91,0.187,returning,3150.1,289.0
optimizer,potential,90,7,79,11,7,11,5.63,0.198,sustainable,2407.92,237.0
low_energy,potential,90,7,35,55,22,13,0,0.343,returning,320.6,35.0
adversarial,potential,90,7,67,23,15,23,68.87,0.179,sustainable,3407.7,307.0
perfect,return,90,7,90,0,0,12,4.87,0.206,sustainable,1800.0,180.0
cautious,return,90,7,52,38,23,8,0,0.231,returning,486.72,52.0
balanced,return,90,7,69,21,15,10,3.13,0.203,returning,1352.4,138.0
chaotic,return,90,7,47,43,22,6,2.0,0.22,returning,1460.76,141.0
high_skip,return,90,7,24,66,18,3,0,0.292,returning,226.56,24.0
returning,return,90,7,48,42,23,6,0.87,0.26,returning,925.44,96.0
overload,return,90,7,80,10,9,20,71.14,0.198,returning,3193.7,293.0
optimizer,return,90,7,85,5,5,10,15.11,0.192,sustainable,2590.8,255.0
low_energy,return,90,7,33,57,23,8,0,0.242,returning,302.28,33.0
adversarial,return,90,7,60,30,20,18,68.76,0.219,sustainable,3041.4,274.0
perfect,lost,180,7,174,6,6,23,4.06,0.21,sustainable,3480.0,348.0
cautious,lost,180,7,115,65,51,14,0,0.217,returning,1076.4,115.0
balanced,lost,180,7,152,28,22,21,0.52,0.197,sustainable,2979.2,304.0
chaotic,lost,180,7,92,88,48,7,1.8,0.192,sustainable,2859.36,276.0
high_skip,lost,180,7,50,130,41,9,0,0.32,returning,472.0,50.0
returning,lost,180,7,101,79,45,14,0.29,0.218,sustainable,1947.28,202.0
overload,lost,180,7,154,26,22,40,73.16,0.198,returning,5842.4,536.0
optimizer,lost,180,7,167,13,10,22,7.83,0.196,integrated,5090.16,501.0
low_energy,lost,180,7,92,88,36,31,0,0.207,returning,842.72,92.0
adversarial,lost,180,7,116,64,51,38,76.04,0.206,returning,5827.5,525.0
perfect,burnout,180,7,180,0,0,25,4.06,0.178,integrated,3600.0,360.0
cautious,burnout,180,7,109,71,41,15,0,0.193,returning,1020.24,109.0
balanced,burnout,180,7,152,28,22,22,2.61,0.188,sustainable,2979.2,304.0
chaotic,burnout,180,7,94,86,46,17,2.0,0.188,sustainable,2921.52,282.0
high_skip,burnout,180,7,35,145,26,5,0,0.286,returning,330.4,35.0
returning,burnout,180,7,108,72,43,22,0.29,0.204,returning,2082.24,216.0
overload,burnout,180,7,145,35,32,37,73.24,0.186,returning,5635.3,517.0
optimizer,burnout,180,7,170,10,10,25,4.06,0.196,integrated,5181.6,510.0
low_energy,burnout,180,7,85,95,45,25,0,0.235,returning,778.6,85.0
adversarial,burnout,180,7,125,55,38,46,69.0,0.195,sustainable,6327.0,570.0
perfect,potential,180,7,177,3,3,24,4.06,0.212,integrated,3540.0,354.0
cautious,potential,180,7,103,77,49,15,0,0.223,returning,964.08,103.0
balanced,potential,180,7,143,37,26,23,1.04,0.189,sustainable,2802.8,286.0
chaotic,potential,180,7,99,81,42,13,8.0,0.182,integrated,3076.92,297.0
high_skip,potential,180,7,50,130,35,6,0,0.2,returning,472.0,50.0
returning,potential,180,7,101,79,48,14,0.58,0.198,sustainable,1947.28,202.0
overload,potential,180,7,158,22,20,43,76.48,0.174,returning,6125.8,562.0
optimizer,potential,180,7,169,11,10,24,7.83,0.197,integrated,5151.12,507.0
low_energy,potential,180,7,69,111,39,25,0,0.217,returning,632.04,69.0
adversarial,potential,180,7,127,53,33,47,72.24,0.192,returning,6482.4,584.0
perfect,return,180,7,179,1,1,25,4.06,0.176,integrated,3580.0,358.0
cautious,return,180,7,113,67,39,15,0,0.23,returning,1057.68,113.0
balanced,return,180,7,132,48,40,19,0.52,0.216,sustainable,2587.2,264.0
chaotic,return,180,7,93,87,46,14,0,0.201,integrated,2890.44,279.0
high_skip,return,180,7,44,136,31,10,0,0.227,returning,415.36,44.0
returning,return,180,7,109,71,46,14,0.29,0.206,sustainable,2101.52,218.0
overload,return,180,7,164,16,15,46,67.26,0.177,sustainable,6234.8,572.0
optimizer,return,180,7,171,9,9,25,7.83,0.197,integrated,5212.08,513.0
low_energy,return,180,7,81,99,47,25,0,0.21,returning,741.96,81.0
adversarial,return,180,7,126,54,38,45,75.2,0.177,returning,6327.0,570.0
perfect,lost,30,8,30,0,0,4,1.62,0.217,open,600.0,60.0
cautious,lost,30,8,19,11,7,1,0,0.421,returning,177.84,19.0
balanced,lost,30,8,23,7,5,3,1.04,0.217,returning,450.8,46.0
chaotic,lost,30,8,12,18,9,1,3.4,0.25,returning,372.96,36.0
high_skip,lost,30,8,9,21,5,2,0,0.333,returning,84.96,9.0
returning,lost,30,8,20,10,7,4,0,0.275,returning,385.6,40.0
overload,lost,30,8,30,0,0,5,70.79,0.216,open,1264.4,116.0
optimizer,lost,30,8,27,3,3,4,3.13,0.198,open,822.96,81.0
low_energy,lost,30,8,14,16,8,4,0,0.286,returning,128.24,14.0
adversarial,lost,30,8,24,6,3,5,72.0,0.219,open,1265.4,114.0
perfect,burnout,30,8,30,0,0,4,1.62,0.25,open,600.0,60.0
cautious,burnout,30,8,19,11,7,2,0,0.263,returning,177.84,19.0
balanced,burnout,30,8,24,6,4,2,1.45,0.229,returning,470.4,48.0
chaotic,burnout,30,8,17,13,9,2,4.0,0.314,returning,528.36,51.0
high_skip,burnout,30,8,9,21,6,2,0,0.333,returning,84.96,9.0
returning,burnout,30,8,20,10,6,4,0.58,0.2,returning,385.6,40.0
overload,burnout,30,8,26,4,4,4,66.23,0.214,returning,1122.7,103.0
optimizer,burnout,30,8,30,0,0,4,12.98,0.189,open,914.4,90.0
low_energy,burnout,30,8,12,18,7,3,0,0.25,returning,109.92,12.0
adversarial,burnout,30,8,25,5,5,7,67.62,0.231,returning,1343.1,121.0
perfect,potential,30,8,30,0,0,4,1.62,0.217,open,600.0,60.0
cautious,potential,30,8,15,15,6,1,0,0.333,returning,140.4,15.0
balanced,potential,30,8,24,6,6,3,1.04,0.375,returning,470.4,48.0
chaotic,potential,30,8,12,18,7,1,5.41,0.278,returning,372.96,36.0
high_skip,potential,30,8,11,19,6,1,0,0.364,returning,103.84,11.0
returning,potential,30,8,17,13,9,4,0.29,0.235,returning,327.76,34.0
overload,potential,30,8,28,2,2,4,72.09,0.27,overloaded,1209.9,111.0
optimizer,potential,30,8,28,2,2,4,3.13,0.19,open,853.44,84.0
low_energy,potential,30,8,22,8,5,6,0,0.227,returning,201.52,22.0
adversarial,potential,30,8,20,10,6,3,67.14,0.198,returning,1065.6,96.0
perfect,return,30,8,30,0,0,4,1.62,0.217,open,600.0,60.0
cautious,return,30,8,18,12,5,2,0,0.278,returning,168.48,18.0
balanced,return,30,8,27,3,2,4,1.04,0.204,open,529.2,54.0
chaotic,return,30,8,15,15,5,1,2.0,0.244,returning,466.2,45.0
high_skip,return,30,8,7,23,6,2,0,0.286,returning,66.08,7.0
returning,return,30,8,17,13,8,3,0,0.235,returning,327.76,34.0
overload,return,30,8,27,3,2,4,66.72,0.194,open,1177.2,108.0
optimizer,return,30,8,28,2,2,4,1.57,0.19,open,853.44,84.0
low_energy,return,30,8,13,17,8,4,0,0.308,returning,119.08,13.0
adversarial,return,30,8,21,9,7,4,65.57,0.219,returning,1165.5,105.0
perfect,lost,90,8,89,1,1,12,4.87,0.23,open,1780.0,178.0
cautious,lost,90,8,51,39,21,6,0,0.216,returning,477.36,51.0
balanced,lost,90,8,72,18,16,12,0.52,0.208,returning,1411.2,144.0
chaotic,lost,90,8,40,50,19,6,3.8,0.242,returning,1243.2,120.0
high_skip,lost,90,8,19,71,16,3,0,0.263,returning,179.36,19.0
returning,lost,90,8,63,27,20,10,0.87,0.206,returning,1214.64,126.0
overload,lost,90,8,81,9,8,20,76.52,0.209,returning,3226.4,296.0
optimizer,lost,90,8,84,6,5,11,7.83,0.194,sustainable,2560.32,252.0
low_energy,lost,90,8,37,53,22,12,0,0.243,returning,338.92,37.0
adversarial,lost,90,8,72,18,14,26,74.56,0.185,returning,3663.0,330.0
perfect,burnout,90,8,90,0,0,12,4.87,0.211,open,1800.0,180.0
cautious,burnout,90,8,61,29,22,11,0,0.295,returning,570.96,61.0
balanced,burnout,90,8,68,22,15,10,2.09,0.228,returning,1332.8,136.0
chaotic,burnout,90,8,43,47,21,4,2.0,0.194,returning,1336.44,129.0
high_skip,burnout,90,8,22,68,16,4,0,0.273,returning,207.68,22.0
returning,burnout,90,8,43,47,25,6,0.29,0.221,returning,829.04,86.0
overload,burnout,90,8,82,8,8,21,73.66,0.207,returning,3215.5,295.0
optimizer,burnout,90,8,85,5,4,12,9.4,0.192,sustainable,2590.8,255.0
low_energy,burnout,90,8,41,49,26,14,0,0.293,returning,375.56,41.0
adversarial,burnout,90,8,71,19,15,26,73.34,0.188,returning,3607.5,325.0
perfect,potential,90,8,90,0,0,12,4.87,0.189,sustainable,1800.0,180.0
cautious,potential,90,8,56,34,24,4,0,0.232,returning,524.16,56.0
balanced,potential,90,8,73,17,12,9,0,0.212,returning,1430.8,146.0
chaotic,potential,90,8,41,49,25,6,6.0,0.22,sustainable,1274.28,123.0
high_skip,potential,90,8,19,71,14,2,0,0.316,returning,179.36,19.0
returning,potential,90,8,53,37,25,4,0.29,0.208,returning,1021.84,106.0
overload,potential,90,8,81,9,8,20,70.16,0.203,returning,3161.0,290.0
optimizer,potential,90,8,82,8,8,11,9.4,0.195,sustainable,2499.36,246.0
low_energy,potential,90,8,50,40,23,19,0,0.28,returning,458.0,50.0
adversarial,potential,90,8,66,24,15,22,72.86,0.201,returning,3363.3,303.0
perfect,return,90,8,89,1,1,12,1.86,0.185,sustainable,1780.0,178.0
cautious,return,90,8,58,32,23,9,0,0.293,returning,542.88,58.0
balanced,return,90,8,75,15,14,10,0.52,0.213,returning,1470.0,150.0
chaotic,return,90,8,41,49,22,6,0,0.276,returning,1274.28,123.0
high_skip,return,90,8,19,71,15,0,0,0.316,returning,179.36,19.0
returning,return,90,8,50,40,26,3,0,0.2,returning,964.0,100.0
overload,return,90,8,81,9,7,20,68.05,0.201,sustainable,3139.2,288.0
optimizer,return,90,8,88,2,2,12,9.4,0.193,sustainable,2682.24,264.0
low_energy,return,90,8,44,46,22,16,0,0.205,returning,403.04,44.0
adversarial,return,90,8,64,26,24,21,74.65,0.194,returning,3318.9,299.0
perfect,lost,180,8,179,1,1,25,4.06,0.184,integrated,3580.0,358.0
cautious,lost,180,8,117,63,43,16,0,0.214,returning,1095.12,117.0
balanced,lost,180,8,140,40,33,22,2.61,0.186,sustainable,2744.0,280.0
chaotic,lost,180,8,86,94,44,15,2.0,0.202,sustainable,2672.88,258.0
high_skip,lost,180,8,52,128,43,8,0,0.192,returning,490.88,52.0
returning,lost,180,8,108,72,42,13,1.16,0.255,sustainable,2082.24,216.0
overload,lost,180,8,154,26,24,41,69.57,0.193,sustainable,5918.7,543.0
optimizer,lost,180,8,175,5,5,23,13.05,0.194,integrated,5334.0,525.0
low_energy,lost,180,8,86,94,48,27,0,0.256,returning,787.76,86.0
adversarial,lost,180,8,127,53,34,47,70.03,0.184,returning,6449.1,581.0
perfect,burnout,180,8,177,3,3,25,4.06,0.201,sustainable,3540.0,354.0
cautious,burnout,180,8,114,66,44,13,0,0.211,returning,1067.04,114.0
balanced,burnout,180,8,144,36,31,19,1.04,0.201,sustainable,2822.4,288.0
chaotic,burnout,180,8,98,82,48,11,6.0,0.184,sustainable,3045.84,294.0
high_skip,burnout,180,8,47,133,33,9,0,0.255,returning,443.68,47.0
returning,burnout,180,8,99,81,45,16,0.29,0.197,returning,1908.72,198.0
overload,burnout,180,8,166,14,13,48,72.54,0.198,returning,6398.3,587.0
optimizer,burnout,180,8,170,10,9,25,7.83,0.196,integrated,5181.6,510.0
low_energy,burnout,180,8,95,85,45,33,0,0.253,returning,870.2,95.0
adversarial,burnout,180,8,120,60,34,44,66.76,0.181,sustainable,6204.9,559.0
perfect,potential,180,8,178,2,2,24,4.06,0.18,integrated,3560.0,356.0
cautious,potential,180,8,109,71,41,17,0,0.22,returning,1020.24,109.0
balanced,potential,180,8,143,37,31,15,2.61,0.21,sustainable,2802.8,286.0
chaotic,potential,180,8,82,98,39,9,0,0.187,sustainable,2548.56,246.0
high_skip,potential,180,8,36,144,29,9,0,0.222,returning,339.84,36.0
returning,potential,180,8,104,76,44,17,0.29,0.197,sustainable,2005.12,208.0
overload,potential,180,8,163,17,15,46,73.53,0.183,returning,6322.0,580.0
optimizer,potential,180,8,172,8,7,23,7.83,0.196,integrated,5242.56,516.0
low_energy,potential,180,8,84,96,45,29,0,0.202,returning,769.44,84.0
adversarial,potential,180,8,117,63,42,39,74.46,0.192,returning,5894.1,531.0
perfect,return,180,8,179,1,1,25,4.06,0.187,integrated,3580.0,358.0
cautious,return,180,8,113,67,40,14,0,0.186,returning,1057.68,113.0
balanced,return,180,8,134,46,31,14,0,0.194,sustainable,2626.4,268.0
chaotic,return,180,8,89,91,44,12,4.0,0.187,sustainable,2766.12,267.0
high_skip,return,180,8,44,136,33,7,0,0.205,returning,415.36,44.0
returning,return,180,8,111,69,45,18,0,0.221,sustainable,2140.08,222.0
overload,return,180,8,162,18,17,45,71.74,0.195,returning,6213.0,570.0
optimizer,return,180,8,169,11,10,25,7.83,0.197,integrated,5151.12,507.0
low_energy,return,180,8,86,94,48,32,0,0.198,returning,787.76,86.0
adversarial,return,180,8,126,54,41,46,65.4,0.186,sustainable,6338.1,571.0
perfect,lost,30,9,30,0,0,4,1.62,0.233,open,600.0,60.0
