profile,origin,days,seed,completed_days,skipped_days,return_count,recovery_days,burnout,action_concentration,ending_band,xp,material
returning,potential,30,1,16,14,6,2,0.29,0.25,returning,308.48,32.0
overload,potential,30,1,28,2,2,4,72.09,0.207,overloaded,1209.9,111.0
optimizer,potential,30,1,26,4,4,4,3.13,0.192,returning,792.48,78.0
low_energy,potential,30,1,14,16,8,4,0,0.357,returning,128.24,14.0
adversarial,potential,30,1,20,10,6,3,68.35,0.21,returning,1110.0,100.0
perfect,return,30,1,30,0,0,4,1.62,0.217,open,600.0,60.0
cautious,return,30,1,18,12,7,3,0,0.278,returning,168.48,18.0
balanced,return,30,1,22,8,7,3,0.52,0.25,returning,431.2,44.0
chaotic,return,30,1,19,11,7,2,0,0.246,returning,590.52,57.0
high_skip,return,30,1,9,21,7,1,0,0.333,returning,84.96,9.0
returning,return,30,1,18,12,7,3,0,0.222,returning,347.04,36.0
overload,return,30,1,27,3,2,4,65.66,0.196,open,1166.3,107.0
optimizer,return,30,1,27,3,2,4,3.13,0.198,open,822.96,81.0
low_energy,return,30,1,19,11,8,6,0,0.211,returning,174.04,19.0
adversarial,return,30,1,22,8,6,4,72.58,0.22,returning,1209.9,109.0
perfect,lost,90,1,89,1,1,12,4.87,0.213,open,1780.0,178.0
cautious,lost,90,1,57,33,20,9,0,0.211,returning,533.52,57.0
balanced,lost,90,1,71,19,17,11,1.57,0.197,returning,1391.6,142.0
chaotic,lost,90,1,44,46,24,7,0,0.189,returning,1367.52,132.0
high_skip,lost,90,1,29,61,21,3,0,0.241,returning,273.76,29.0
returning,lost,90,1,60,30,21,7,0.58,0.192,returning,1156.8,120.0
overload,lost,90,1,81,9,9,20,73.34,0.201,returning,3193.7,293.0
optimizer,lost,90,1,84,6,4,11,9.4,0.194,sustainable,2560.32,252.0
low_energy,lost,90,1,47,43,24,20,0,0.213,returning,430.52,47.0
adversarial,lost,90,1,70,20,12,25,75.14,0.185,returning,3607.5,325.0
perfect,burnout,90,1,90,0,0,12,4.87,0.2,open,1800.0,180.0
cautious,burnout,90,1,54,36,21,7,0,0.259,returning,505.44,54.0
balanced,burnout,90,1,70,20,17,9,2.09,0.229,returning,1372.0,140.0
chaotic,burnout,90,1,43,47,22,8,2.0,0.209,returning,1336.44,129.0
high_skip,burnout,90,1,21,69,11,4,0,0.286,returning,198.24,21.0
returning,burnout,90,1,53,37,22,7,0,0.208,returning,1021.84,106.0
overload,burnout,90,1,79,11,10,19,76.36,0.201,returning,3084.7,283.0
optimizer,burnout,90,1,83,7,7,11,9.02,0.193,sustainable,2529.84,249.0
low_energy,burnout,90,1,44,46,23,14,0,0.318,returning,403.04,44.0
adversarial,burnout,90,1,60,30,23,19,67.17,0.199,sustainable,3063.6,276.0
perfect,potential,90,1,88,2,2,12,4.87,0.193,sustainable,1760.0,176.0
