profile,origin,days,seed,completed_days,skipped_days,return_count,recovery_days,burnout,action_concentration,ending_band,xp,material
cautious,lost,30,2,18,12,7,3,0,0.222,returning,168.48,18.0
balanced,lost,30,2,20,10,8,4,0.52,0.2,returning,392.0,40.0
chaotic,lost,30,2,15,15,7,2,4.0,0.2,returning,466.2,45.0
high_skip,lost,30,2,5,25,5,1,0,0.2,returning,47.2,5.0
returning,lost,30,2,13,17,6,2,0,0.308,returning,250.64,26.0
overload,lost,30,2,29,1,1,4,76.41,0.177,overloaded,1231.7,113.0
optimizer,lost,30,2,29,1,1,4,3.13,0.195,open,883.92,87.0
low_energy,lost,30,2,11,19,8,5,0,0.364,returning,100.76,11.0
adversarial,lost,30,2,25,5,5,6,69.22,0.185,returning,1320.9,119.0
perfect,burnout,30,2,30,0,0,4,1.62,0.167,open,600.0,60.0
cautious,burnout,30,2,19,11,7,2,0,0.211,returning,177.84,19.0
balanced,burnout,30,2,21,9,5,2,0,0.214,returning,411.6,42.0
chaotic,burnout,30,2,19,11,9,1,12.82,0.175,returning,590.52,57.0
high_skip,burnout,30,2,11,19,8,1,0,0.273,returning,103.84,11.0
returning,burnout,30,2,19,11,5,2,0.58,0.237,returning,366.32,38.0
overload,burnout,30,2,30,0,0,5,75.67,0.175,overloaded,1242.6,114.0
optimizer,burnout,30,2,29,1,1,4,9.21,0.184,open,883.92,87.0
low_energy,burnout,30,2,11,19,4,3,0,0.273,returning,100.76,11.0
adversarial,burnout,30,2,22,8,6,4,75.97,0.179,returning,1176.6,106.0
perfect,potential,30,2,29,1,0,4,0,0.172,open,580.0,58.0
cautious,potential,30,2,15,15,8,0,0,0.333,returning,140.4,15.0
balanced,potential,30,2,22,8,5,3,1.04,0.205,returning,431.2,44.0
chaotic,potential,30,2,19,11,8,2,2.0,0.193,returning,590.52,57.0
high_skip,potential,30,2,7,23,5,1,0,0.286,returning,66.08,7.0
returning,potential,30,2,18,12,8,3,0.29,0.25,returning,347.04,36.0
overload,potential,30,2,29,1,1,4,76.41,0.177,overloaded,1231.7,113.0
optimizer,potential,30,2,27,3,3,4,3.13,0.198,open,822.96,81.0
low_energy,potential,30,2,15,15,9,7,0,0.267,returning,137.4,15.0
adversarial,potential,30,2,22,8,7,4,71.38,0.194,returning,1198.8,108.0
perfect,return,30,2,30,0,0,4,1.62,0.167,open,600.0,60.0
cautious,return,30,2,22,8,6,2,0,0.227,returning,205.92,22.0
balanced,return,30,2,23,7,5,4,0.52,0.196,returning,450.8,46.0
chaotic,return,30,2,12,18,5,1,0,0.194,returning,372.96,36.0
high_skip,return,30,2,8,22,6,1,0,0.375,returning,75.52,8.0
returning,return,30,2,15,15,8,3,0,0.233,returning,289.2,30.0
overload,return,30,2,24,6,4,4,47.42,0.188,returning,1046.4,96.0
optimizer,return,30,2,28,2,2,4,3.13,0.19,open,853.44,84.0
low_energy,return,30,2,10,20,7,4,0,0.3,returning,91.6,10.0
adversarial,return,30,2,22,8,7,4,73.78,0.182,returning,1221.0,110.0
perfect,lost,90,2,90,0,0,12,4.87,0.167,open,1800.0,180.0
cautious,lost,90,2,57,33,21,7,0,0.193,returning,533.52,57.0
balanced,lost,90,2,61,29,21,8,0.52,0.197,returning,1195.6,122.0
chaotic,lost,90,2,41,49,25,7,9.41,0.203,returning,1274.28,123.0
high_skip,lost,90,2,27,63,17,4,0,0.259,returning,254.88,27.0
returning,lost,90,2,59,31,21,8,0,0.195,returning,1137.52,118.0
overload,lost,90,2,78,12,10,19,69.27,0.172,sustainable,3106.5,285.0
optimizer,lost,90,2,84,6,6,12,4.06,0.19,sustainable,2560.32,252.0
low_energy,lost,90,2,41,49,21,16,0,0.22,returning,375.56,41.0
adversarial,lost,90,2,64,26,17,20,76.02,0.172,returning,3230.1,291.0
perfect,burnout,90,2,90,0,0,12,4.87,0.167,open,1800.0,180.0
cautious,burnout,90,2,62,28,19,7,0,0.194,returning,580.32,62.0
balanced,burnout,90,2,68,22,18,9,1.57,0.176,returning,1332.8,136.0
chaotic,burnout,90,2,40,50,22,7,3.6,0.2,returning,1243.2,120.0
high_skip,burnout,90,2,18,72,15,2,0,0.278,returning,169.92,18.0
returning,burnout,90,2,53,37,21,9,0.29,0.198,returning,1021.84,106.0
overload,burnout,90,2,82,8,7,21,71.54,0.181,returning,3193.7,293.0
optimizer,burnout,90,2,83,7,6,12,9.4,0.193,sustainable,2529.84,249.0
low_energy,burnout,90,2,48,42,22,13,0,0.208,returning,439.68,48.0
adversarial,burnout,90,2,58,32,25,17,69.12,0.175,sustainable,2919.3,263.0
perfect,potential,90,2,89,1,1,12,4.87,0.169,sustainable,1780.0,178.0
cautious,potential,90,2,57,33,22,9,0,0.193,returning,533.52,57.0
balanced,potential,90,2,63,27,20,8,1.57,0.175,returning,1234.8,126.0
chaotic,potential,90,2,37,53,23,5,4.0,0.207,returning,1149.96,111.0
high_skip,potential,90,2,20,70,16,3,0,0.3,returning,188.8,20.0
returning,potential,90,2,64,26,20,9,1.45,0.195,returning,1233.92,128.0
overload,potential,90,2,80,10,10,20,69.02,0.172,sustainable,3171.9,291.0
optimizer,potential,90,2,88,2,2,12,9.4,0.193,sustainable,2682.24,264.0
low_energy,potential,90,2,46,44,21,16,0,0.174,returning,421.36,46.0
adversarial,potential,90,2,65,25,21,22,69.46,0.179,sustainable,3352.2,302.0
perfect,return,90,2,89,1,1,11,4.87,0.169,open,1780.0,178.0
cautious,return,90,2,62,28,19,12,0,0.194,returning,580.32,62.0
balanced,return,90,2,67,23,19,11,1.57,0.172,returning,1313.2,134.0
chaotic,return,90,2,37,53,21,5,7.8,0.189,returning,1149.96,111.0
high_skip,return,90,2,18,72,15,3,0,0.278,returning,169.92,18.0
returning,return,90,2,56,34,20,9,0,0.179,returning,1079.68,112.0
overload,return,90,2,79,11,11,19,73.59,0.178,returning,3128.3,287.0
optimizer,return,90,2,83,7,6,11,12.83,0.193,sustainable,2529.84,249.0
low_energy,return,90,2,45,45,24,11,0,0.2,returning,412.2,45.0
adversarial,return,90,2,68,22,17,23,75.89,0.18,returning,3452.1,311.0
perfect,lost,180,2,180,0,0,25,4.06,0.167,integrated,3600.0,360.0
cautious,lost,180,2,107,73,41,14,0,0.187,returning,1001.52,107.0
balanced,lost,180,2,139,41,31,21,0.52,0.18,sustainable,2724.4,278.0
chaotic,lost,180,2,94,86,44,13,2.0,0.177,integrated,2921.52,282.0
high_skip,lost,180,2,42,138,33,6,0,0.214,returning,396.48,42.0
returning,lost,180,2,107,73,46,12,0,0.206,sustainable,2062.96,214.0
overload,lost,180,2,159,21,18,43,69.15,0.174,sustainable,6027.7,553.0
optimizer,lost,180,2,169,11,11,24,7.83,0.195,integrated,5151.12,507.0
low_energy,lost,180,2,76,104,41,30,0,0.184,returning,696.16,76.0
adversarial,lost,180,2,120,60,42,41,77.11,0.174,returning,6060.6,546.0
perfect,burnout,180,2,176,4,4,24,4.06,0.17,sustainable,3520.0,352.0
cautious,burnout,180,2,118,62,47,17,0,0.203,returning,1104.48,118.0
balanced,burnout,180,2,148,32,27,19,2.09,0.179,sustainable,2900.8,296.0
chaotic,burnout,180,2,92,88,45,10,0,0.178,sustainable,2859.36,276.0
high_skip,burnout,180,2,39,141,30,4,0,0.256,returning,368.16,39.0
returning,burnout,180,2,102,78,49,16,0,0.181,returning,1966.56,204.0
overload,burnout,180,2,151,29,22,40,74.61,0.171,returning,5853.3,537.0
optimizer,burnout,180,2,167,13,13,25,4.06,0.198,integrated,5090.16,501.0
low_energy,burnout,180,2,74,106,42,27,0,0.23,returning,677.84,74.0
adversarial,burnout,180,2,124,56,40,45,74.18,0.178,returning,6293.7,567.0
perfect,potential,180,2,178,2,2,25,4.06,0.169,integrated,3560.0,356.0
cautious,potential,180,2,105,75,45,13,0,0.19,returning,982.8,105.0
balanced,potential,180,2,133,47,32,20,0,0.184,sustainable,2606.8,266.0
chaotic,potential,180,2,83,97,45,13,0,0.177,sustainable,2579.64,249.0
high_skip,potential,180,2,45,135,33,8,0,0.222,returning,424.8,45.0
returning,potential,180,2,113,67,41,15,0.29,0.186,sustainable,2178.64,226.0
overload,potential,180,2,157,23,19,42,69.4,0.177,sustainable,5962.3,547.0
optimizer,potential,180,2,170,10,10,24,7.83,0.196,integrated,5181.6,510.0
low_energy,potential,180,2,100,80,44,34,0,0.2,returning,916.0,100.0
adversarial,potential,180,2,125,55,39,46,66.81,0.172,sustainable,6371.4,574.0
perfect,return,180,2,179,1,1,25,4.06,0.168,integrated,3580.0,358.0
cautious,return,180,2,110,70,40,17,0,0.209,returning,1029.6,110.0
balanced,return,180,2,141,39,31,22,0,0.177,sustainable,2763.6,282.0
